COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
9.3949553E9,,M/S 2/7->C,,M/S 4/7->A,B,,M/S 1/7->D,
9.7284639E9,,M/S 2/7->C,D,,M/S 4/7->A,B,
9.4947512E9,,M/S 3/7->D,,M/S 2/7->C,,M/S 4/7->A,B,
9.0865725E9,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->A,B,
1.01660385E10,,M/S 2/7->C,,M/S 4/7->A,B,,M/S 6/7->D,
1.02635377E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->A,B,
8.8654561E9,,M/S 3/7->C,,M/S 4/7->A,B,,M/S 1/7->D,
9.4274191E9,,M/S 3/7->C,,M/S 2/7->D,,M/S 4/7->A,B,
8.8944558E9,,M/S 3/7->C,D,,M/S 4/7->A,B,
8.5570734E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 4/7->A,B,
9.6365404E9,,M/S 3/7->C,,M/S 4/7->A,B,,M/S 6/7->D,
9.7340396E9,,M/S 3/7->C,,M/S 7/7->D,,M/S 4/7->A,B,
8.5359524E9,,M/S 5/7->C,,M/S 4/7->A,B,,M/S 1/7->D,
9.0979154E9,,M/S 5/7->C,,M/S 2/7->D,,M/S 4/7->A,B,
8.6357484E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 4/7->A,B,
8.2275707E9,,M/S 5/7->C,D,,M/S 4/7->A,B,
9.3070367E9,,M/S 5/7->C,,M/S 4/7->A,B,,M/S 6/7->D,
9.4045358E9,,M/S 5/7->C,,M/S 7/7->D,,M/S 4/7->A,B,
9.5451269E9,,M/S 4/7->A,B,,M/S 1/7->D,,M/S 6/7->C,
1.01070889E10,,M/S 2/7->D,,M/S 4/7->A,B,,M/S 6/7->C,
9.6449229E9,,M/S 3/7->D,,M/S 4/7->A,B,,M/S 6/7->C,
9.2367442E9,,M/S 5/7->D,,M/S 4/7->A,B,,M/S 6/7->C,
1.03162102E10,,M/S 4/7->A,B,,M/S 6/7->C,D,
1.04137093E10,,M/S 7/7->D,,M/S 4/7->A,B,,M/S 6/7->C,
8.9177743E9,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->C,D,
9.5697234E9,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->C,
9.1075564E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->C,
8.5508659E9,,M/S 5/7->B,,M/S 4/7->A,D,,M/S 1/7->C,
8.6993787E9,,M/S 5/7->B,D,,M/S 4/7->A,,M/S 1/7->C,
9.7788447E9,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->D,
9.8763438E9,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->C,
9.6578232E9,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->D,
9.9913318E9,,M/S 5/7->B,,M/S 2/7->C,D,,M/S 4/7->A,
9.7576192E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->A,
9.2009288E9,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->A,D,
9.3494405E9,,M/S 5/7->B,D,,M/S 2/7->C,,M/S 4/7->A,
1.04289075E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->D,
1.05264067E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->A,
9.1283231E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->D,
9.6902861E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->A,
9.1573238E9,,M/S 3/7->C,D,,M/S 5/7->B,,M/S 4/7->A,
8.6714286E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 4/7->A,D,
8.8199414E9,,M/S 3/7->C,,M/S 5/7->B,D,,M/S 4/7->A,
9.8994074E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 4/7->A,,M/S 6/7->D,
9.9969065E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->A,
8.5614797E9,,M/S 5/7->B,,M/S 4/7->A,C,,M/S 1/7->D,
9.1234427E9,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->A,C,
8.6612756E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 4/7->A,C,
8.2530975E9,,M/S 5/7->B,D,,M/S 4/7->A,C,
9.332564E9,,M/S 5/7->B,,M/S 4/7->A,C,,M/S 6/7->D,
9.4300631E9,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->A,C,
8.7988204E9,,M/S 5/7->B,C,,M/S 4/7->A,,M/S 1/7->D,
9.3607834E9,,M/S 5/7->B,C,,M/S 2/7->D,,M/S 4/7->A,
8.8986163E9,,M/S 3/7->D,,M/S 5/7->B,C,,M/S 4/7->A,
8.3419259E9,,M/S 5/7->B,C,,M/S 4/7->A,D,
9.5699046E9,,M/S 5/7->B,C,,M/S 4/7->A,,M/S 6/7->D,
9.6674038E9,,M/S 5/7->B,C,,M/S 7/7->D,,M/S 4/7->A,
9.8079939E9,,M/S 5/7->B,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.03699569E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->A,,M/S 6/7->C,
9.9077898E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 4/7->A,,M/S 6/7->C,
9.3510994E9,,M/S 5/7->B,,M/S 4/7->A,D,,M/S 6/7->C,
9.4996122E9,,M/S 5/7->B,D,,M/S 4/7->A,,M/S 6/7->C,
1.05790781E10,,M/S 5/7->B,,M/S 4/7->A,,M/S 6/7->C,D,
1.06765773E10,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->C,
9.4829578E9,,M/S 4/7->A,,M/S 1/7->C,D,,M/S 6/7->B,
1.01349069E10,,M/S 2/7->D,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,
9.6727398E9,,M/S 3/7->D,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,
9.1160504E9,,M/S 4/7->A,D,,M/S 1/7->C,,M/S 6/7->B,
9.2645622E9,,M/S 5/7->D,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.03440282E10,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,D,
1.04415273E10,,M/S 7/7->D,,M/S 4/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.02230067E10,,M/S 2/7->C,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.05565143E10,,M/S 2/7->C,D,,M/S 4/7->A,,M/S 6/7->B,
1.03228027E10,,M/S 3/7->D,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->B,
9.7661123E9,,M/S 2/7->C,,M/S 4/7->A,D,,M/S 6/7->B,
9.914624E9,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->B,
1.099409E10,,M/S 2/7->C,,M/S 4/7->A,,M/S 6/7->B,D,
1.10915891E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->B,
9.6935066E9,,M/S 3/7->C,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.02554685E10,,M/S 3/7->C,,M/S 2/7->D,,M/S 4/7->A,,M/S 6/7->B,
9.7225073E9,,M/S 3/7->C,D,,M/S 4/7->A,,M/S 6/7->B,
9.2366121E9,,M/S 3/7->C,,M/S 4/7->A,D,,M/S 6/7->B,
9.3851238E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 4/7->A,,M/S 6/7->B,
1.04645908E10,,M/S 3/7->C,,M/S 4/7->A,,M/S 6/7->B,D,
1.0562089E10,,M/S 3/7->C,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->B,
9.1266632E9,,M/S 4/7->A,C,,M/S 1/7->D,,M/S 6/7->B,
9.6886262E9,,M/S 2/7->D,,M/S 4/7->A,C,,M/S 6/7->B,
9.2264591E9,,M/S 3/7->D,,M/S 4/7->A,C,,M/S 6/7->B,
8.8182815E9,,M/S 5/7->D,,M/S 4/7->A,C,,M/S 6/7->B,
9.8977475E9,,M/S 4/7->A,C,,M/S 6/7->B,D,
9.9952466E9,,M/S 7/7->D,,M/S 4/7->A,C,,M/S 6/7->B,
9.3640038E9,,M/S 5/7->C,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->B,
9.9259658E9,,M/S 5/7->C,,M/S 2/7->D,,M/S 4/7->A,,M/S 6/7->B,
9.4637998E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 4/7->A,,M/S 6/7->B,
8.9071094E9,,M/S 5/7->C,,M/S 4/7->A,D,,M/S 6/7->B,
9.0556211E9,,M/S 5/7->C,D,,M/S 4/7->A,,M/S 6/7->B,
1.01350881E10,,M/S 5/7->C,,M/S 4/7->A,,M/S 6/7->B,D,
1.02325862E10,,M/S 5/7->C,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->B,
1.03731784E10,,M/S 4/7->A,,M/S 1/7->D,,M/S 6/7->B,C,
1.09351404E10,,M/S 2/7->D,,M/S 4/7->A,,M/S 6/7->B,C,
1.04729743E10,,M/S 3/7->D,,M/S 4/7->A,,M/S 6/7->B,C,
9.9162839E9,,M/S 4/7->A,D,,M/S 6/7->B,C,
1.00647956E10,,M/S 5/7->D,,M/S 4/7->A,,M/S 6/7->B,C,
1.12417608E10,,M/S 7/7->D,,M/S 4/7->A,,M/S 6/7->B,C,
9.4190449E9,,M/S 5/7->A,,M/S 2/7->D,,M/S 1/7->B,C,
8.9568778E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 1/7->B,C,
8.8079964E9,,M/S 5/7->A,,M/S 4/7->D,,M/S 1/7->B,C,
8.5486991E9,,M/S 5/7->A,D,,M/S 1/7->B,C,
9.6281661E9,,M/S 5/7->A,,M/S 1/7->B,C,,M/S 6/7->D,
9.7256653E9,,M/S 5/7->A,,M/S 7/7->D,,M/S 1/7->B,C,
9.5279002E9,,M/S 5/7->A,,M/S 2/7->C,,M/S 1/7->B,D,
9.9296461E9,,M/S 5/7->A,,M/S 2/7->C,D,,M/S 1/7->B,
9.6959334E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 2/7->C,,M/S 1/7->B,
9.547052E9,,M/S 5/7->A,,M/S 2/7->C,,M/S 4/7->D,,M/S 1/7->B,
9.2877548E9,,M/S 5/7->A,D,,M/S 2/7->C,,M/S 1/7->B,
1.03672218E10,,M/S 5/7->A,,M/S 2/7->C,,M/S 1/7->B,,M/S 6/7->D,
1.04647209E10,,M/S 5/7->A,,M/S 2/7->C,,M/S 7/7->D,,M/S 1/7->B,
8.9984E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 1/7->B,D,
9.6286003E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 2/7->D,,M/S 1/7->B,
9.095638E9,,M/S 3/7->C,D,,M/S 5/7->A,,M/S 1/7->B,
9.0175519E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 4/7->D,,M/S 1/7->B,
8.7582556E9,,M/S 3/7->C,,M/S 5/7->A,D,,M/S 1/7->B,
9.8377216E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 1/7->B,,M/S 6/7->D,
9.9352207E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 7/7->D,,M/S 1/7->B,
8.8383611E9,,M/S 5/7->A,,M/S 4/7->C,,M/S 1/7->B,D,
9.4685604E9,,M/S 5/7->A,,M/S 2/7->D,,M/S 4/7->C,,M/S 1/7->B,
9.0063933E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 4/7->C,,M/S 1/7->B,
8.389973E9,,M/S 5/7->A,,M/S 4/7->C,D,,M/S 1/7->B,
8.5982147E9,,M/S 5/7->A,D,,M/S 4/7->C,,M/S 1/7->B,
9.6776817E9,,M/S 5/7->A,,M/S 4/7->C,,M/S 1/7->B,,M/S 6/7->D,
9.7751808E9,,M/S 5/7->A,,M/S 7/7->D,,M/S 4/7->C,,M/S 1/7->B,
8.6688973E9,,M/S 5/7->A,C,,M/S 1/7->B,D,
9.2990976E9,,M/S 5/7->A,C,,M/S 2/7->D,,M/S 1/7->B,
8.8369306E9,,M/S 3/7->D,,M/S 5/7->A,C,,M/S 1/7->B,
8.6880492E9,,M/S 5/7->A,C,,M/S 4/7->D,,M/S 1/7->B,
9.5082189E9,,M/S 5/7->A,C,,M/S 1/7->B,,M/S 6/7->D,
9.605718E9,,M/S 5/7->A,C,,M/S 7/7->D,,M/S 1/7->B,
9.6780718E9,,M/S 5/7->A,,M/S 1/7->B,D,,M/S 6/7->C,
1.03082711E10,,M/S 5/7->A,,M/S 2/7->D,,M/S 1/7->B,,M/S 6/7->C,
9.8461041E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 1/7->B,,M/S 6/7->C,
9.6972237E9,,M/S 5/7->A,,M/S 4/7->D,,M/S 1/7->B,,M/S 6/7->C,
9.4379254E9,,M/S 5/7->A,D,,M/S 1/7->B,,M/S 6/7->C,
1.05173924E10,,M/S 5/7->A,,M/S 1/7->B,,M/S 6/7->C,D,
1.06148915E10,,M/S 5/7->A,,M/S 7/7->D,,M/S 1/7->B,,M/S 6/7->C,
9.6716759E9,,M/S 5/7->A,,M/S 2/7->B,,M/S 1/7->C,D,
1.01754593E10,,M/S 5/7->A,,M/S 2/7->B,D,,M/S 1/7->C,
9.8614589E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 2/7->B,,M/S 1/7->C,
9.7125775E9,,M/S 5/7->A,,M/S 2/7->B,,M/S 4/7->D,,M/S 1/7->C,
9.4532813E9,,M/S 5/7->A,D,,M/S 2/7->B,,M/S 1/7->C,
1.05327473E10,,M/S 5/7->A,,M/S 2/7->B,,M/S 1/7->C,,M/S 6/7->D,
1.06302464E10,,M/S 5/7->A,,M/S 2/7->B,,M/S 7/7->D,,M/S 1/7->C,
1.02638418E10,,M/S 5/7->A,,M/S 2/7->B,C,,M/S 1/7->D,
1.03636378E10,,M/S 3/7->D,,M/S 5/7->A,,M/S 2/7->B,C,
1.02147564E10,,M/S 5/7->A,,M/S 2/7->B,C,,M/S 4/7->D,
9.9554591E9,,M/S 5/7->A,D,,M/S 2/7->B,C,
1.10349251E10,,M/S 5/7->A,,M/S 2/7->B,C,,M/S 6/7->D,
1.11324242E10,,M/S 5/7->A,,M/S 2/7->B,C,,M/S 7/7->D,
9.8822257E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 2/7->B,,M/S 1/7->D,
1.0296021E10,,M/S 3/7->C,,M/S 5/7->A,,M/S 2/7->B,D,
9.9112264E9,,M/S 3/7->C,D,,M/S 5/7->A,,M/S 2/7->B,
9.8331402E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 2/7->B,,M/S 4/7->D,
9.5738429E9,,M/S 3/7->C,,M/S 5/7->A,D,,M/S 2/7->B,
1.06533089E10,,M/S 3/7->C,,M/S 5/7->A,,M/S 2/7->B,,M/S 6/7->D,
1.07508081E10,,M/S 3/7->C,,M/S 5/7->A,,M/S 2/7->B,,M/S 7/7->D,
9.7221857E9,,M/S 5/7->A,,M/S 2/7->B,,M/S 4/7->C,,M/S 1/7->D,
1.01359821E10,,M/S 5/7->A,,M/S 2/7->B,D,,M/S 4/7->C,
9.8219817E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 2/7->B,,M/S 4/7->C,
9.2055613E9,,M/S 5/7->A,,M/S 2/7->B,,M/S 4/7->C,D,
9.413804E9,,M/S 5/7->A,D,,M/S 2/7->B,,M/S 4/7->C,
1.049327E10,,M/S 5/7->A,,M/S 2/7->B,,M/S 4/7->C,,M/S 6/7->D,
1.05907692E10,,M/S 5/7->A,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->C,
9.5527229E9,,M/S 5/7->A,C,,M/S 2/7->B,,M/S 1/7->D,
9.9665183E9,,M/S 5/7->A,C,,M/S 2/7->B,D,
9.6525189E9,,M/S 3/7->D,,M/S 5/7->A,C,,M/S 2/7->B,
9.5036375E9,,M/S 5/7->A,C,,M/S 2/7->B,,M/S 4/7->D,
1.03238062E10,,M/S 5/7->A,C,,M/S 2/7->B,,M/S 6/7->D,
1.04213053E10,,M/S 5/7->A,C,,M/S 2/7->B,,M/S 7/7->D,
1.05618964E10,,M/S 5/7->A,,M/S 2/7->B,,M/S 1/7->D,,M/S 6/7->C,
1.09756928E10,,M/S 5/7->A,,M/S 2/7->B,D,,M/S 6/7->C,
1.06616924E10,,M/S 3/7->D,,M/S 5/7->A,,M/S 2/7->B,,M/S 6/7->C,
1.0512811E10,,M/S 5/7->A,,M/S 2/7->B,,M/S 4/7->D,,M/S 6/7->C,
1.02535148E10,,M/S 5/7->A,D,,M/S 2/7->B,,M/S 6/7->C,
1.13329807E10,,M/S 5/7->A,,M/S 2/7->B,,M/S 6/7->C,D,
1.14304799E10,,M/S 5/7->A,,M/S 2/7->B,,M/S 7/7->D,,M/S 6/7->C,
9.0028237E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 1/7->C,D,
9.6547717E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 2/7->D,,M/S 1/7->C,
9.1686277E9,,M/S 3/7->B,D,,M/S 5/7->A,,M/S 1/7->C,
9.0437243E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 4/7->D,,M/S 1/7->C,
8.784427E9,,M/S 3/7->B,,M/S 5/7->A,D,,M/S 1/7->C,
9.863893E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 1/7->C,,M/S 6/7->D,
9.9613921E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 7/7->D,,M/S 1/7->C,
9.7428716E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 2/7->C,,M/S 1/7->D,
1.00763802E10,,M/S 3/7->B,,M/S 5/7->A,,M/S 2/7->C,D,
9.8186895E9,,M/S 3/7->B,D,,M/S 5/7->A,,M/S 2/7->C,
9.6937861E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 2/7->C,,M/S 4/7->D,
9.4344888E9,,M/S 3/7->B,,M/S 5/7->A,D,,M/S 2/7->C,
1.05139548E10,,M/S 3/7->B,,M/S 5/7->A,,M/S 2/7->C,,M/S 6/7->D,
1.0611454E10,,M/S 3/7->B,,M/S 5/7->A,,M/S 2/7->C,,M/S 7/7->D,
9.1662029E9,,M/S 3/7->B,C,,M/S 5/7->A,,M/S 1/7->D,
9.7281659E9,,M/S 3/7->B,C,,M/S 5/7->A,,M/S 2/7->D,
9.1171174E9,,M/S 3/7->B,C,,M/S 5/7->A,,M/S 4/7->D,
8.8578202E9,,M/S 3/7->B,C,,M/S 5/7->A,D,
9.9372872E9,,M/S 3/7->B,C,,M/S 5/7->A,,M/S 6/7->D,
1.00347863E10,,M/S 3/7->B,C,,M/S 5/7->A,,M/S 7/7->D,
9.0533325E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 4/7->C,,M/S 1/7->D,
9.6152945E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 2/7->D,,M/S 4/7->C,
9.1291505E9,,M/S 3/7->B,D,,M/S 5/7->A,,M/S 4/7->C,
8.5367081E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 4/7->C,D,
8.7449498E9,,M/S 3/7->B,,M/S 5/7->A,D,,M/S 4/7->C,
9.8244157E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 4/7->C,,M/S 6/7->D,
9.9219149E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 7/7->D,,M/S 4/7->C,
8.8838697E9,,M/S 3/7->B,,M/S 5/7->A,C,,M/S 1/7->D,
9.4458327E9,,M/S 3/7->B,,M/S 5/7->A,C,,M/S 2/7->D,
8.9596867E9,,M/S 3/7->B,D,,M/S 5/7->A,C,
8.8347843E9,,M/S 3/7->B,,M/S 5/7->A,C,,M/S 4/7->D,
9.654954E9,,M/S 3/7->B,,M/S 5/7->A,C,,M/S 6/7->D,
9.7524531E9,,M/S 3/7->B,,M/S 5/7->A,C,,M/S 7/7->D,
9.8930432E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.04550052E10,,M/S 3/7->B,,M/S 5/7->A,,M/S 2/7->D,,M/S 6/7->C,
9.9688612E9,,M/S 3/7->B,D,,M/S 5/7->A,,M/S 6/7->C,
9.8439578E9,,M/S 3/7->B,,M/S 5/7->A,,M/S 4/7->D,,M/S 6/7->C,
9.5846605E9,,M/S 3/7->B,,M/S 5/7->A,D,,M/S 6/7->C,
1.06641265E10,,M/S 3/7->B,,M/S 5/7->A,,M/S 6/7->C,D,
1.07616256E10,,M/S 3/7->B,,M/S 5/7->A,,M/S 7/7->D,,M/S 6/7->C,
8.8308797E9,,M/S 5/7->A,,M/S 4/7->B,,M/S 1/7->C,D,
9.4828288E9,,M/S 5/7->A,,M/S 2/7->D,,M/S 4/7->B,,M/S 1/7->C,
9.0206618E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 4/7->B,,M/S 1/7->C,
8.4712837E9,,M/S 5/7->A,,M/S 4/7->B,D,,M/S 1/7->C,
8.6124841E9,,M/S 5/7->A,D,,M/S 4/7->B,,M/S 1/7->C,
9.6919501E9,,M/S 5/7->A,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->D,
9.7894492E9,,M/S 5/7->A,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->C,
9.5709286E9,,M/S 5/7->A,,M/S 2/7->C,,M/S 4/7->B,,M/S 1/7->D,
9.9044372E9,,M/S 5/7->A,,M/S 2/7->C,D,,M/S 4/7->B,
9.6707246E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 2/7->C,,M/S 4/7->B,
9.1213455E9,,M/S 5/7->A,,M/S 2/7->C,,M/S 4/7->B,D,
9.2625469E9,,M/S 5/7->A,D,,M/S 2/7->C,,M/S 4/7->B,
1.03420129E10,,M/S 5/7->A,,M/S 2/7->C,,M/S 4/7->B,,M/S 6/7->D,
1.04395121E10,,M/S 5/7->A,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->B,
9.0414285E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 4/7->B,,M/S 1/7->D,
9.6033915E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 2/7->D,,M/S 4/7->B,
9.0704292E9,,M/S 3/7->C,D,,M/S 5/7->A,,M/S 4/7->B,
8.5918464E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 4/7->B,D,
8.7330468E9,,M/S 3/7->C,,M/S 5/7->A,D,,M/S 4/7->B,
9.8125128E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 4/7->B,,M/S 6/7->D,
9.9100119E9,,M/S 3/7->C,,M/S 5/7->A,,M/S 7/7->D,,M/S 4/7->B,
8.4665692E9,,M/S 5/7->A,,M/S 4/7->B,C,,M/S 1/7->D,
9.0285322E9,,M/S 5/7->A,,M/S 2/7->D,,M/S 4/7->B,C,
8.5663652E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 4/7->B,C,
8.1581875E9,,M/S 5/7->A,D,,M/S 4/7->B,C,
9.2376535E9,,M/S 5/7->A,,M/S 4/7->B,C,,M/S 6/7->D,
9.3351526E9,,M/S 5/7->A,,M/S 7/7->D,,M/S 4/7->B,C,
8.7119258E9,,M/S 5/7->A,C,,M/S 4/7->B,,M/S 1/7->D,
9.2738888E9,,M/S 5/7->A,C,,M/S 2/7->D,,M/S 4/7->B,
8.8117217E9,,M/S 3/7->D,,M/S 5/7->A,C,,M/S 4/7->B,
8.2623437E9,,M/S 5/7->A,C,,M/S 4/7->B,D,
9.48301E9,,M/S 5/7->A,C,,M/S 4/7->B,,M/S 6/7->D,
9.5805092E9,,M/S 5/7->A,C,,M/S 7/7->D,,M/S 4/7->B,
9.7210993E9,,M/S 5/7->A,,M/S 4/7->B,,M/S 1/7->D,,M/S 6/7->C,
1.02830623E10,,M/S 5/7->A,,M/S 2/7->D,,M/S 4/7->B,,M/S 6/7->C,
9.8208952E9,,M/S 3/7->D,,M/S 5/7->A,,M/S 4/7->B,,M/S 6/7->C,
9.2715172E9,,M/S 5/7->A,,M/S 4/7->B,D,,M/S 6/7->C,
9.4127176E9,,M/S 5/7->A,D,,M/S 4/7->B,,M/S 6/7->C,
1.04921836E10,,M/S 5/7->A,,M/S 4/7->B,,M/S 6/7->C,D,
1.05896827E10,,M/S 5/7->A,,M/S 7/7->D,,M/S 4/7->B,,M/S 6/7->C,
8.7044147E9,,M/S 5/7->A,B,,M/S 1/7->C,D,
9.3563638E9,,M/S 5/7->A,B,,M/S 2/7->D,,M/S 1/7->C,
8.8941967E9,,M/S 3/7->D,,M/S 5/7->A,B,,M/S 1/7->C,
8.7453164E9,,M/S 5/7->A,B,,M/S 4/7->D,,M/S 1/7->C,
9.5654851E9,,M/S 5/7->A,B,,M/S 1/7->C,,M/S 6/7->D,
9.6629842E9,,M/S 5/7->A,B,,M/S 7/7->D,,M/S 1/7->C,
9.4444636E9,,M/S 5/7->A,B,,M/S 2/7->C,,M/S 1/7->D,
9.7779712E9,,M/S 5/7->A,B,,M/S 2/7->C,D,
9.5442596E9,,M/S 3/7->D,,M/S 5/7->A,B,,M/S 2/7->C,
9.3953782E9,,M/S 5/7->A,B,,M/S 2/7->C,,M/S 4/7->D,
1.02155469E10,,M/S 5/7->A,B,,M/S 2/7->C,,M/S 6/7->D,
